Geo-ID	Place	% of Homes Built 2000 to 2009	% of Homes Built 1990 to 1999	% of Homes Built 1980 to 1989	% of Homes Built 1970 to 1979	% of Homes Built 1960 to 1969	% of Homes Built 1950 to 1959	% of Homes Built 1940 to 1949	% of Homes Built 1939 or earlier	% of Homes No bed rooms	% of Homes 1 bed rooms	% of Homes 2 bed rooms	% of Homes  3 bed rooms	% of Homes 4 bed rooms	% of Homes 5 or more bed rooms
16000us0613182	Chinese Camp	29	29	24	10	8	0	0	0	0	0	56	44	0	0
16000us0613210	Chino	10	20	25	10	8	2	3	22	1	8	18	37	29	7
16000us0613214	Chino Hills	33	35	12	2	3	1	0	13	1	4	13	36	35	11
06000us0603990480	Chowchilla	9	10	12	10	13	9	5	32	2	5	21	49	19	4
16000us0613364	Chualar	41	9	24	11	0	5	2	7	0	2	38	36	21	3
06000us0606590492	Chuckwalla Valley	13	23	24	19	7	2	2	11	3	26	34	29	8	1
16000us0613392	Chula Vista	16	12	13	17	12	3	2	24	2	12	25	33	20	8
16000us0613560	Citrus	1	5	14	12	57	8	0	2	0	5	18	48	26	3
16000us0613588	Citrus Heights	8	23	40	13	9	2	1	4	1	13	27	42	15	2
16000us0613756	Claremont	5	12	17	24	21	5	9	6	1	11	22	33	26	6
06000us0611390500	Clarksburg	6	4	5	24	11	8	36	6	0	4	12	47	29	7
16000us0613882	Clayton	34	11	40	7	2	1	0	5	0	3	8	39	38	12
16000us0613910	Clear Creek	0	19	27	4	4	19	19	8	8	8	26	56	2	0
06000us0603390503	Clearlake	9	15	25	19	14	4	5	10	2	21	41	32	4	1
16000us0613966	Clearlake Oaks	8	13	33	21	8	8	3	5	3	17	52	18	8	2
06000us0603390505	Clearlake Riviera	14	14	24	11	6	5	5	21	1	10	34	44	9	1
16000us0614008	Cleone	14	26	21	11	4	3	8	12	0	18	28	42	8	3
16000us0614106	Clio	0	46	54	0	0	0	0	0	0	46	0	0	54	0
16000us0614190	Cloverdale	17	14	12	8	10	5	7	26	1	9	34	41	12	3
06000us0609790510	Cloverdale-Geyserville	15	14	15	9	10	7	12	18	2	8	33	43	12	2
16000us0614218	Clovis	20	16	21	8	4	2	1	28	1	8	22	42	23	5
16000us0614232	Clyde	32	18	12	2	17	3	14	1	0	6	19	32	40	1
16000us0614260	Coachella	12	15	8	7	4	1	1	50	1	3	15	44	31	6
06000us0606590520	Coachella Valley	18	18	10	6	5	1	1	42	2	6	30	38	21	4
06000us0601990530	Coalinga	14	20	14	11	10	7	11	14	2	8	31	47	10	2
16000us0614288	Coarsegold	25	17	4	5	7	5	0	37	0	5	28	52	11	3
06000us0603390545	Cobb	9	23	17	14	19	5	6	7	3	11	34	43	8	1
16000us0614406	Coffee Creek	8	8	34	26	13	2	0	10	0	11	31	49	8	2
16000us0614442	Cohasset	11	29	10	29	4	2	6	9	0	10	21	61	9	0
16000us0614450	Cold Springs	0	23	21	42	8	0	0	7	3	8	26	60	3	0
16000us0614498	Colfax	14	7	19	3	3	13	22	19	0	20	33	39	7	0
06000us0606190548	Colfax-Monumental Ridge	14	19	23	11	8	4	7	15	2	6	27	39	19	7
16000us0614554	College City	0	0	0	28	0	0	31	41	0	0	0	100	0	0
16000us0614708	Collierville	23	15	18	12	5	16	5	6	0	9	19	55	16	2
16000us0614736	Colma	22	6	5	3	19	14	8	23	2	12	19	52	9	5
16000us0614764	Coloma	28	24	3	0	20	0	17	8	0	7	37	56	0	0
16000us0614890	Colton	13	33	13	8	12	7	8	5	4	14	34	31	15	2
16000us0614904	Columbia	9	14	30	12	8	3	13	11	5	7	40	37	8	3
16000us0614946	Colusa	7	17	15	13	9	11	18	10	2	10	37	41	9	1
05000us06011	Colusa County	14	15	14	12	9	7	13	16	2	10	30	44	13	2
16000us0614974	Commerce	7	13	7	12	25	23	10	3	5	19	36	31	7	2
16000us0615030	Comptche	22	18	9	17	0	0	34	0	9	29	46	16	0	0
06000us0603790560	Compton	5	7	12	20	24	19	9	4	3	11	31	38	15	3
16000us0616000	Concord	4	14	26	24	19	6	1	5	1	13	28	36	20	3
16000us0616035	Concow	7	26	33	2	6	0	0	21	0	30	45	25	0	0
16000us0616090	Contra Costa Centre	37	25	9	7	9	3	1	8	6	49	33	7	4	2
05000us06013	Contra Costa County	12	17	19	14	13	7	4	12	1	10	24	34	24	7
16000us0616210	Copperopolis	26	19	7	0	0	0	1	46	0	0	25	64	9	1
16000us0616224	Corcoran	7	22	14	16	10	11	4	16	1	4	28	52	15	1
06000us0610390580	Corning	13	18	21	11	5	4	10	17	1	9	33	45	9	3
06000us0606590590	Corona	28	25	12	8	5	2	2	17	1	8	18	31	32	11
16000us0616378	Coronado	8	12	31	9	12	9	13	5	4	15	33	31	13	4
16000us0616420	Coronita	0	7	29	30	26	4	1	2	0	3	4	41	50	2
16000us0616434	Corralitos	7	10	4	12	3	10	45	9	0	14	17	50	18	1
16000us0616462	Corte Madera	6	12	9	29	28	7	7	3	2	9	27	46	15	2
16000us0616532	Costa Mesa	5	12	26	26	21	3	1	6	3	20	36	26	13	2
16000us0616560	Cotati	11	34	24	6	4	3	5	15	0	8	44	32	15	1
16000us0616580	Coto de Caza	59	18	4	1	1	0	0	16	0	0	11	28	37	24
16000us0616630	Cottonwood	22	21	14	10	13	5	2	12	1	6	30	50	11	0
06000us0604390600	Coulterville	20	13	20	9	6	5	6	22	3	12	26	49	8	2
16000us0616644	Coultervillle	0	6	48	0	0	0	28	18	0	18	47	35	0	0
16000us0616651	Country Club	0	3	8	14	49	19	6	2	1	3	32	54	10	0
16000us0616714	Courtland	0	0	0	0	24	22	34	20	0	0	24	56	0	20
06000us0604590610	Covelo	12	16	30	10	12	2	10	8	3	13	25	46	10	2
16000us0616742	Covina	2	13	15	17	42	3	5	2	2	13	24	43	17	2
16000us0616762	Cowan	6	9	18	8	0	39	21	0	0	0	14	78	9	0
06000us0601590620	Crescent City	15	18	15	12	15	5	6	14	3	10	32	40	12	3
16000us0617078	Cressey	17	31	3	25	12	12	0	0	0	3	36	49	12	0
16000us0617106	Crest	5	12	27	12	13	5	9	17	0	9	15	62	13	1
